address,area,balcony,cellar,city,contact_name,district,elevator,extra_costs,floor,garden,immo_id,kitchen,lat,lng,media_count,phone,private,rent,rooms,sqm,time_dest,time_dest2,time_dest3,title,url,wbs,wg,zip_code
Afrikanische Str. 4,,true,,Berlin,Jens Kelpin,Wedding (Wedding),true,190,,false,115093110,false,52.547,13.3435,8,030 89100110,false,620,2,63.05,22.516666666666666,21.65,29.983333333333334,Besichtigung am Donnerstag 02.01. um 13:00 Uhr! Schöne 2 Zimmer Whg. WG geeignet mit Balkon,https://www.immobilienscout24.de/expose/115093110,false,true,13351
Schloßstraße 34,,true,,Berlin,,Charlottenburg (Charlottenburg),false,150,,false,115169405,false,52.51237,13.29759,5,030 403907100,false,699,1,53,28.866666666666667,29.283333333333335,18.583333333333332,Moderne und großzügige 1-Zimmer-Wohnung im Herzen Charlottenburgs!,https://www.immobilienscout24.de/expose/115169405,false,false,14059
Finowstraße 15,,true,,Berlin,Vermietungsteam Stadthaus Verwaltungsgesellschaft,Neukölln (Neukölln),false,160,,false,115169451,false,52.48319,13.44459,8,030 236314926,false,639,2.5,67.6,33.53333333333333,12.566666666666666,16.883333333333333,"Weigandufer! 2,5 Zimmer - hochwertiges Laminat - Balkon - Neue Sani Objekte - ca. 68 qm für 799 €",https://www.immobilienscout24.de/expose/115169451,false,true,12045
Zillestrasse 19,,true,,Berlin,,Charlottenburg (Charlottenburg),true,180,,false,61775788,false,52.51375,13.31246,5,030 403907100,false,689,2,53,27.733333333333334,19.366666666666667,25.65,Moderne 2-Zimmer-Wohnung mit Balkon nahe der Deutschen Oper sucht neue Mieter!,https://www.immobilienscout24.de/expose/61775788,false,false,10585
Finowstraße 23,,true,,Berlin,Vermietungsteam Stadthaus Verwaltungsgesellschaft,Neukölln (Neukölln),false,116,,false,115166498,false,52.48274,13.44333,11,030 236314926,false,630,2,55.93,33.81666666666667,12.65,16.8,Neukölln - 2 Zimmerwohnung - Balkon Abgezogene Dielen - Parkett - Wannenbad - ca. 56 m² - 746 € warm,https://www.immobilienscout24.de/expose/115166498,false,true,12045
Karl-Marx-Straße 156,,false,,Berlin,,Neukölln (Neukölln),false,110,,false,114951572,false,52.4654,13.44309,5,030 403907100,false,529,1,44,17.866666666666667,24.816666666666666,5.733333333333333,Geräumige 1- Zimmerwohnung in Neukölln zu vermieten!,https://www.immobilienscout24.de/expose/114951572,false,false,12057
Landhausstr. 31,,true,true,Berlin,,Wilmersdorf (Wilmersdorf),true,171,,false,114847916,false,52.48881,13.32912,7,0176 10 45 45 32,false,663,2,53.03,25.933333333333334,23.783333333333335,19.833333333333332,"~Sanierte, helle Wohnung - zentral und ruhig gelegen~ Balkon, Aufzug, Stellplatz~",https://www.immobilienscout24.de/expose/114847916,false,false,10717
Wiesbadener Straße 13a,,false,true,Berlin,Sandra Grudzinska,Friedenau (Schöneberg),false,175.00000000000006,,false,114772954,false,52.4719,13.32205,6,,false,500.33,2,55.2,36.35,27.316666666666666,18.85,Gepflegtes Wohnen im Altbau,https://www.immobilienscout24.de/expose/114772954,false,false,12161
Kaiserdamm 6,,false,,Berlin,Kübler Selectra Kübler GmbH Berlin,Charlottenburg (Charlottenburg),false,126,,false,103742463,false,52.5109,13.29247,5,030 6857305,false,455,1,55.92,26.65,22.366666666666667,21.866666666666667,Kaiserdamm geräumige 1 Zimmmerwohnung,https://www.immobilienscout24.de/expose/103742463,false,false,14057
Hohenzollerndamm 6,,false,,Berlin,,Wilmersdorf (Wilmersdorf),false,130,,false,115167862,false,52.49542,13.32811,5,030 403907100,false,659,2,50,24.816666666666666,21.85,20.483333333333334,Wunderschöne 2 Zimmer Wohnung am Hohenzollerndamm zu vermieten!,https://www.immobilienscout24.de/expose/115167862,false,false,10717
